# Sanskrit syllabaries

va-1	w a fvs1 space w a fvs1 lvs space w i space w i lvs space w ue space w ue lvs	Wb Aa - Wb Aa Lv - Wb I3 - Wb I3 Lv - Wb U - Wb U Lv
va-2	w a r yTag fvs1 space w a r yTag fvs1 lvs space w a l yTag fvs1 space w a l yTag fvs1 lvs	Wb A R Ir - Wb A R Ir Lv - Wb A L Ir - Wb A L Ir Lv
va-3	w e space w e e space w o space w o o	Wb E - Wb E E - Wb Ob - Wb Ob Ob

śa-1	sh a fvs1 space sh a fvs1 lvs space sh i space sh i lvs space sh ue space sh ue lvs	Sh Aa - Sh Aa Lv - Sh I3 - Sh I3 Lv - Sh U - Sh U Lv
śa-2	sh a r yTag fvs1 space sh a r yTag fvs1 lvs space sh a l yTag fvs1 space sh a l yTag fvs1 lvs	Sh A R Ir - Sh A R Ir Lv - Sh A L Ir - Sh A L Ir Lv
śa-3	sh e space sh e e space sh o space sh o o	Sh E - Sh E E - Sh Ob - Sh Ob Ob

ṣa-1	shTag a fvs1 space shTag a fvs1 lvs space shTag i space shTag i lvs space shTag ue space shTag ue lvs	Sx Aa - Sx Aa Lv - Sx I3 - Sx I3 Lv - Sx U - Sx U Lv
ṣa-2	shTag a r yTag fvs1 space shTag a r yTag fvs1 lvs space shTag a l yTag fvs1 space shTag a l yTag fvs1 lvs	Sx A R Ir - Sx A R Ir Lv - Sx A L Ir - Sx A L Ir Lv
ṣa-3	shTag e space shTag e e space shTag o space shTag o o	Sx E - Sx E E - Sx Ob - Sx Ob Ob

sa-1	s a fvs1 space s a fvs1 lvs space s i space s i lvs space s ue space s ue lvs	S Aa - S Aa Lv - S I3 - S I3 Lv - S U - S U Lv
sa-2	s a r yTag fvs1 space s a r yTag fvs1 lvs space s a l yTag fvs1 space s a l yTag fvs1 lvs	S A R Ir - S A R Ir Lv - S A L Ir - S A L Ir Lv
sa-3	s e space s e e space s o space s o o	S E - S E E - S Ob - S Ob Ob

ha-1	hh a fvs1 space hh a fvs1 lvs space hh i space hh i lvs space hh ue space hh ue lvs	A Hr Aa - A Hr Aa Lv - A Hr I3 - A Hr I3 Lv - A Hr U - A Hr U Lv
